Product Name,Original Price,Discounted Price
VGA ASUS Dual GeForce RTX 4060 Ti OC 16GB GDDR6 (DUAL-RTX4060TI-O16G),16.999.000,14.299.000
VGA ASUS TUF Gaming GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition (TUF-RTX4070S-O12G-GAMING),24.999.000,21.499.000
VGA Asus ROG Strix GeForce RTX 4070 Ti SUPER 16GB GDDR6X OC Edition (ROG-STRIX-RTX4070TIS-O16G-GAMING),37.999.000,30.499.000
VGA Colorful GeForce RTX 3060 NB DUO 12GB V2 L-V,11.990.000,7.399.000
VGA MSI GeForce RTX 4060 Ti GAMING X 8GB,16.999.000,12.699.000
VGA Colorful GeForce RTX 4060 NB EX 8GB-V,9.499.000,8.499.000
VGA Gigabyte RTX 4070 Super Gaming OC 12GB GDDR6X (N407SGAMING OC-12GD),25.999.000,21.799.000
VGA Colorful GeForce RTX 4070 SUPER NB EX 12GB-V,25.999.000,19.499.000
VGA MSI RTX 4080 Super 16GB Suprim X,43.999.000,38.499.000
VGA Asus ROG Strix GeForce RTX 4070 SUPER 12GB GDDR6X (ROG-STRIX-RTX4070S-12G-GAMING),25.699.000,22.499.000
VGA Leadtek A400 4GB (4 cổng MiniDP),5.499.000,5.439.000
VGA GALAX GeForce GTX 1050 Ti (1-Click OC) 4GB GDDR5 (50IQH8DSQ3DD),5.999.000,5.199.000
VGA Leadtek NVIDIA RTX A5000 24GB GDDR6,72.999.000,66.699.000
VGA Gigabyte RTX 4070 Eagle OC 12GB (N4070EAGLE OC-12GD),22.999.000,19.399.000
VGA MSI GeForce RTX 4060 Ti VENTUS 3X 8GB OC,14.999.000,11.899.000
VGA MSI RTX 4060 Ti VENTUS 3X 16GB OC,16.999.000,14.499.000
VGA ASROCK RX 7800 XT Steel Legend 16GB OC (RX7800XT SL 16GO),18.999.000,15.699.000
VGA Gigabyte RTX 4070 Super Windforce OC 12GB GDDR6X (N407SWF3 OC-12GD),26.999.000,19.499.000
VGA Gigabyte RTX 4070 Ti Super Aorus Master 16GB GDDR6X (N407TSAORUS M-16GD),35.999.000,30.999.000
VGA Asus ROG Strix GeForce RTX 4080 SUPER 16GB GDDR6X OC Edition (ROG-STRIX-RTX4080S-O16G-GAMING),44.999.000,37.599.000
VGA INNO3D GEFORCE RTX 4070 Ti SUPER X3 OC,25.499.000,23.999.000
VGA Leadtek Nvidia A1000 8GB,14.999.000,13.739.000
VGA MSI RTX 4070 Ti SUPER 16GB SHADOW 3X OC,28.999.000,25.599.000
VGA PNY GeForce GTX 1650 4GB GDDR6 Dual Fan,4.199.000,3.699.000
VGA NVIDIA RTX A4000 16GB GDDR6,30.999.000,30.149.000
VGA Manli GeForce GTX 1050Ti 4GB GDDR5 Single Fan,6.000.000,4.699.000
VGA MSI RTX 4070 VENTUS 2X 12GB OC,19.999.000,16.399.000
VGA MSI GeForce RTX 4060 Ti VENTUS 2X BLACK 8GB OC,13.999.000,12.099.000
VGA ASUS Dual GeForce RTX 4060 Ti OC 16GB GDDR6 (DUAL-RTX4060TI-O16G),16.999.000,14.299.000
VGA ASUS TUF Gaming GeForce RTX 4070 SUPER 12GB GDDR6X OC Edition (TUF-RTX4070S-O12G-GAMING),24.999.000,21.499.000
VGA Gigabyte RTX 4070 Super Aorus Master 12GB GDDR6X (N407SAORUS M-12GD),29.999.000,23.799.000
VGA MSI RTX 4070 Ti Super 16GB Gaming X Slim,32.999.000,26.999.000
VGA Asus ROG Strix GeForce RTX 4080 SUPER 16GB GDDR6X White OC Edition (ROG-STRIX-RTX4080S-O16G-WHITE),41.999.000,38.499.000
VGA Asus Dual Radeon RX 7600 V2 OC 8GB GDDR6 (DUAL-RX7600-O8G-V2),8.999.000,7.699.000
VGA MSI Geforce RTX 4070 Ti SUPER 16GB VENTUS 2X WHITE OC,31.999.000,25.299.000
