Product Name,Original Price,Discounted Price
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 SUPER  ADVANCED OC 12GB-V,22.999.000₫,20.999.000₫
CARD MÀN HÌNH ASUS PRIME-RTX 4070-O12G,18.999.000₫,17.599.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI WINDFORCE V2 OC 8GB,13.599.000₫,12.199.000₫
CARD MÀN HÌNH NVIDIA RTX A4000 (16GB GDDR6),36.499.000₫,32.719.000₫
CARD MÀN HÌNH NVIDIA RTX 6000 ADA GENERATION (48GB GDDR6) (LEADTEK),N/A,275.489.000₫
CARD MÀN HÌNH NVIDIA RTX 4000 SFF ADA GENERATION (20GB GDDR6) (LEADTEK),49.999.000₫,45.289.000₫
CARD MÀN HÌNH NVIDIA RTX A5500 (24GB GDDR6) (LEADTEK),117.899.000₫,113.879.000₫
CARD MÀN HÌNH NVIDIA RTX A4500 (20GB GDDR6) (LEADTEK),59.999.000₫,52.289.000₫
"CARD MÀN HÌNH NVIDIA RTX A5000 (24GB GDDR6, 384-BIT, 4X DISPLAYPORT, 1X 8-PIN)",76.499.000₫,72.029.000₫
"CARD MÀN HÌNH NVIDIA RTX A6000 (48GB GDDR6, 384-BIT, 4X DISPLAYPORT, 1X8-PIN)",154.999.000₫,150.999.000₫
"CARD MÀN HÌNH NVIDIA T1000 (4GB GDDR6, 128-BIT, 4X MINI DISPLAYPORT)",N/A,9.439.000₫
CARD MÀN HÌNH INNO3D GT1030 2GB FAN VERSION,2.499.000₫,2.099.000₫
CARD MÀN HÌNH GIGABYTE RTX 4060 TI WINDFORCE OC-8GB,12.999.000₫,12.099.000₫
CARD MÀN HÌNH COLORFUL IGAME GEFORCE RTX 4070 NEPTUNE 12G L-V,26.599.000₫,23.599.000₫
"CARD MÀN HÌNH MSI GT 1030 AERO ITX 2GD4 OC (2GB GDDR4, 64-BIT, DVI+HDMI)",2.599.000₫,2.099.000₫
