Product Name,Original Price HaComp,Discounted Price HaComp,Original Price AnPhat,Discounted Price AnPhat,Original Price NguyenCongPC,Discounted Price NguyenCongPC,Score,Normalized Score (%)
CPU INTEL CORE I3-10105F,2.299.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,2.299.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F TRAY NEW,,,,,2.400.000Đ,890.000Đ,,
CPU INTEL CORE I3-12100,3.399.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-12100,3.799.000₫,2.899.000₫,,,,,,
CPU INTEL CORE I3-12100,3.399.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-12100F,2.799.000₫,1.499.000₫,,,,,,
CPU INTEL CORE I3-12100F,2.799.000₫,1.799.000₫,,,,,,
CPU INTEL CORE I3-12100F,3.099.000₫,1.999.000₫,,,,,,
CPU INTEL CORE I3-13100,4.199.000₫,3.399.000₫,,,,,,
CPU INTEL CORE I3-13100F,4.299.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-14100,4.399.000₫,3.399.000₫,,,,,,
CPU INTEL CORE I3-14100F,3.699.000₫,2.999.000₫,,,,,,
CPU INTEL CORE I5 10400,,,,,4.790.000Đ,3.390.000Đ,,
CPU INTEL CORE I5 10400,,,,,4.790.000Đ,3.390.000Đ,,
CPU INTEL CORE I5 10400F,,,4.499.000,2.799.000,,,,
CPU INTEL CORE I5 10400F,,,4.499.000,2.799.000,,,,
CPU INTEL CORE I5 10400F TRAY,,,,,2.880.000Đ,1.900.000Đ,,
CPU INTEL CORE I5 10400F TRAY,,,,,2.880.000Đ,1.900.000Đ,,
CPU INTEL CORE I5 11400F,,,3.999.000,2.499.000,,,,
CPU INTEL CORE I5 12400,,,6.000.000,3.749.000,,,,
CPU INTEL CORE I5 13400,,,6.999.000,5.249.000,,,,
CPU INTEL CORE I5 13400F,,,6.199.000,4.399.000,,,,
CPU INTEL CORE I5 13600K,,,10.999.000,6.999.000,8.990.000Đ,4.990.000Đ,,
CPU INTEL CORE I5 13600K,,,10.999.000,6.999.000,8.990.000Đ,4.990.000Đ,,
CPU INTEL CORE I5 13600KF,,,9.899.000,6.099.000,,,,
CPU INTEL CORE I5 13600KF,,,9.899.000,6.099.000,,,,
CPU INTEL CORE I5 14400,,,7.999.000,5.499.000,6.590.000Đ,6.290.000Đ,,
CPU INTEL CORE I5 14400F,,,6.999.000,4.599.000,,,,
CPU INTEL CORE I5 14400F,,,6.999.000,4.599.000,,,,
CPU INTEL CORE I5 14500,,,7.999.000,6.599.000,6.850.000Đ,6.590.000Đ,,
CPU INTEL CORE I5 14500,,,7.999.000,6.599.000,6.850.000Đ,6.590.000Đ,,
CPU INTEL CORE I5 14500,,,7.999.000,6.599.000,6.850.000Đ,6.590.000Đ,,
CPU INTEL CORE I5 14500,,,7.999.000,6.599.000,6.850.000Đ,6.590.000Đ,,
CPU INTEL CORE I5 14600K,,,9.399.000,6.699.000,,,,
CPU INTEL CORE I5 14600K,,,9.399.000,6.699.000,,,,
CPU INTEL CORE I5 14600KF,,,12.499.000,5.999.000,,,,
CPU INTEL CORE I5 14600KF,,,12.499.000,5.999.000,,,,
CPU INTEL CORE I5-10400,4.299.000₫,3.299.000₫,,,,,,
CPU INTEL CORE I5-10400,4.699.000₫,3.599.000₫,,,,,,
CPU INTEL CORE I5-10400,4.299.000₫,3.199.000₫,,,,,,
CPU INTEL CORE I5-10400F,3.899.000₫,2.299.000₫,,,,,,
CPU INTEL CORE I5-10400F,3.799.000₫,2.699.000₫,,,,,,
CPU INTEL CORE I5-11400,4.999.000₫,3.899.000₫,,,,,,
CPU INTEL CORE I5-11400F,3.699.000₫,1.999.000₫,,,,,,
CPU INTEL CORE I5-11400F,4.099.000₫,2.999.000₫,,,,,,
CPU INTEL CORE I5-11400F TRAY NEW,,,,,5.190.000Đ,1.590.000Đ,,
CPU INTEL CORE I5-11400F TRAY NEW,,,,,5.190.000Đ,1.590.000Đ,,
CPU INTEL CORE I5-11600K,,,,,5.990.000Đ,3.990.000Đ,,
CPU INTEL CORE I5-11600K,,,,,5.990.000Đ,3.990.000Đ,,
CPU INTEL CORE I5-12400,4.999.000₫,3.299.000₫,,,,,,
CPU INTEL CORE I5-12400,4.999.000₫,3.199.000₫,,,,,,
CPU INTEL CORE I5-12400,5.699.000₫,3.799.000₫,,,,,,
CPU INTEL CORE I5-12400F,4.599.000₫,2.699.000₫,,,5.599.000Đ,2.490.000Đ,,
CPU INTEL CORE I5-12400F,3.999.000₫,2.899.000₫,,,5.599.000Đ,2.490.000Đ,,
CPU INTEL CORE I5-12400F,4.599.000₫,2.599.000₫,,,5.599.000Đ,2.490.000Đ,,
CPU INTEL CORE I5-12400F,4.399.000₫,2.899.000₫,,,5.599.000Đ,2.490.000Đ,,
CPU INTEL CORE I5-12400F TRAY NEW,,,,,3.400.000Đ,1.650.000Đ,,
CPU INTEL CORE I5-12500,5.999.000₫,5.699.000₫,,,,,,
CPU INTEL CORE I5-12600,0,6.599.000₫,,,,,,
